PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP CODE,PRICE,BEDS,BATHS,SQ. FT,YEAR BUILT
Single Family Residential,5137 Stratford Rd,Birmingham,AL,35242,475000,5,4,4243,1987
Single Family Residential,7040 6th Ct S,Birmingham,AL,35212,179900,3,2,1312,1964
Single Family Residential,3921 Viola Ave SW,Birmingham,AL,35221,121000,3,1,1118,1936
Single Family Residential,1720 Home Garden Dr,Birmingham,AL,35214,95000,3,1,936,1956
Single Family Residential,5712 Country Club Dr,Birmingham,AL,35228,70000,3,1,925,1956
Single Family Residential,816 86th St S,Birmingham,AL,35206,199900,4,2,1514,1960
Single Family Residential,2326 18th St,Birmingham,AL,35208,14000,2,1,1371,1940
Single Family Residential,2913 Brookhaven Ave SW,Birmingham,AL,35211,169900,3,2,1309,2002
Single Family Residential,1517 Lafayette St,Birmingham,AL,35214,74900,4,1,1296,1960
Single Family Residential,408 Ferncliff Dr,Birmingham,AL,35213,350000,3,3,2600,1967
Single Family Residential,6204 Foxwood Trl,Birmingham,AL,35242,399900,4,3.5,2833,1996
Single Family Residential,1005 Catherine St,Birmingham,AL,35215,105000,3,1,1070,1954
Single Family Residential,5 Ridge Dr,Mountain Brook,AL,35213,1085000,3,2.5,2130,1951
Single Family Residential,7301 S 5th Ave,Birmingham,AL,35206,295900,4,3,3302,1970
Single Family Residential,205 E Ann Dr SW,Birmingham,AL,35211,24900,4,1,1249,1950
Single Family Residential,440 20th Ave S,Birmingham,AL,35205,219900,3,1,1258,1951
Single Family Residential,1700 N University Ave,Little Rock,AR,72207,357000,3,2,2262,1950
Single Family Residential,6 High Point Cv,Little Rock,AR,72211,237000,3,2,1564,1987
Single Family Residential,170 Courts Ln,Little Rock,AR,72223,685000,4,3.5,4164,2008
Townhouse,504 Green Mountain Dr,Little Rock,AR,72211,103000,2,1.5,1054,1981
Single Family Residential,2004 S Elm St,Little Rock,AR,72204,37500,3,1,899,1945
Single Family Residential,6802 Sandpiper Dr,Little Rock,AR,72205,219900,3,2,1699,1965
Single Family Residential,1701 Rice Dr,Little Rock,AR,72202,55000,2,1,820,1930
Single Family Residential,2922 W 15 St,Little Rock,AR,72204,55250,3,1,1300,1930
Single Family Residential,10 Chenay Dr,Little Rock,AR,72223,435000,4,3,2326,2009
Single Family Residential,6709 Evergreen Dr,Little Rock,AR,72207,355000,4,3,2436,1995
Single Family Residential,11740 Southridge Dr,Little Rock,AR,72212,259900,3,2,1734,1970
Single Family Residential,8224 W 37th St,Little Rock,AR,72204,151999,3,1,1102,1965
Single Family Residential,5316 Maryland Ave,Little Rock,AR,72204,140000,2,2,1256,1947
Single Family Residential,2300 N Rodney Parham,Little Rock,AR,72212,449900,4,3.5,3200,1972
Single Family Residential,818 Commerce St,Little Rock,AR,72202,399500,3,2,2342,1920
Single Family Residential,13609 Napoleon Rd,Little Rock,AR,72211,425000,4,3.5,2939,1995
Condo/Co-op,1201 N Pierce St #17,Little Rock,AR,72207,159000,2,2,1062,1979
Mobile/Manufactured Home,4225 Golden Oak Rd,Little Rock,AR,72210,158500,3,2,1225,1978
Condo/Co-op,5 Statehouse Plaza 9b,Little Rock,AR,72201,595000,2,2,1446,2008
Single Family Residential,10 Toulouse Ct,Little Rock,AR,72211,365000,4,2,2433,1987
Single Family Residential,3722 W 11th St,Little Rock,AR,72204,77000,4,2,2184,1940
Single Family Residential,25 Avignon Ct,Little Rock,AR,72223,585000,4,3.5,3485,1994
Condo/Co-op,315 Rock St #1206,Little Rock,AR,72202,385000,2,2,1358,2009
Single Family Residential,2214 Old Forge Dr,Little Rock,AR,72227,285000,3,2,1816,1972
Single Family Residential,8 Keswick Cv,Little Rock,AR,72212,409000,3,2.5,3070,1985
Single Family Residential,1801 N Polk,Little Rock,AR,72207,425000,4,2,1772,1928
Single Family Residential,104 Belles Fleurs Blvd,Little Rock,AR,72223,475000,3,2,2487,2019
Condo/Co-op,700 E 9th 7e St,Little Rock,AR,72202,125000,1,1,625,1967
Single Family Residential,134 Fletcher Ridge Dr,Little Rock,AR,72223,421900,3,2,2055,2023
Single Family Residential,41 Cobblestone,Little Rock,AR,72223,575000,4,3.5,2934,2017
Single Family Residential,12406 Eagle Pointe Ln,Little Rock,AR,72211,260000,3,2.5,1906,1993
Single Family Residential,6 Bear Trail Cv,Little Rock,AR,72210,254900,3,2,2032,1997
Single Family Residential,2503 W 6th St,Little Rock,AR,72205,190000,3,2,1330,1940
Single Family Residential,23 Carroll Cir,Mabelvale,AR,72103,255000,4,4,2926,1971
Single Family Residential,30 Summerland Ct,Little Rock,AR,72227,220000,3,2,1940,1984
Single Family Residential,700 S Oak,Little Rock,AR,72205,195000,2,1,1190,1942
Condo/Co-op,14 Reservoir Heights Dr,Little Rock,AR,72227,219500,3,3,2235,1981
Single Family Residential,46 Rosemont Dr,Little Rock,AR,72204,75300,3,2,1920,1962
Single Family Residential,3506 Ludwig St,Little Rock,AR,72204,215000,3,3,2698,1962
Single Family Residential,31 Rosans Ct,Little Rock,AR,72223,685000,5,4,3874,2018
Single Family Residential,4123 W 24th St,Little Rock,AR,72204,79500,3,1,1090,1969
Single Family Residential,211 Sezanne Dr,Little Rock,AR,72223,899000,4,5,4100,2009
Single Family Residential,38 Alba Ln,Little Rock,AR,72223,749000,4,3.5,4292,2003
Condo/Co-op,1401 N Pierce St #16,Little Rock,AR,72207,135000,2,2,1094,1978
Single Family Residential,37 Belles Fleurs Cir,Little Rock,AR,72223,530900,3,2.5,2765,2018
Single Family Residential,28 Eagles Nest Ct,Little Rock,AR,72210,240000,3,2,1830,1998
Single Family Residential,3221 Foxcroft Rd,Little Rock,AR,72227,545000,4,2.5,3232,1975
Single Family Residential,22914 Wyldewood Dr,Little Rock,AR,72210,349900,3,2,1500,1995
Single Family Residential,2909 W 25th St,Little Rock,AR,72204,159999,3,1,1274,1940
Single Family Residential,21734 Arch St,Little Rock,AR,72206,210000,4,2,1758,1975
Single Family Residential,4306 Longtree Cv,Little Rock,AR,72212,439500,3,3.5,2991,1998
Single Family Residential,1800 Mesquite Cir,Little Rock,AR,72211,200000,3,2,1201,1990
Single Family Residential,1014 Loretta Ln,Little Rock,AR,72227,290000,4,2.5,2310,1963
Single Family Residential,410 Keightley Dr,Little Rock,AR,72207,314900,3,2,1616,1957
Single Family Residential,3 Kanis Creek Pl,Little Rock,AR,72223,380000,3,2,1900,2010
Single Family Residential,5 Silver Maple Ct,Little Rock,AR,72212,230000,3,2,1700,1984
Single Family Residential,1 N Meadowcliff Cir,Little Rock,AR,72209,95000,3,1.5,1492,1955
Single Family Residential,81 Deer Run Dr,Little Rock,AR,72206,135000,4,2,1268,1979
Single Family Residential,4915 Hawthorne Rd,Little Rock,AR,72207,1700000,4,3.5,4843,2009
Single Family Residential,107 Fletcher Ridge Dr,Little Rock,AR,72223,530000,4,3.5,2574,2023
Single Family Residential,9 Marchwood Cv,Little Rock,AR,72210,535000,4,3.5,3296,2023
Single Family Residential,3316 W 11th St,Little Rock,AR,72204,78000,2,1,1129,1933
Single Family Residential,2206 S Martin St,Little Rock,AR,72204,49000,1,1,1268,1940
Condo/Co-op,12400 Hunters Glen Blvd #42,Little Rock,AR,72211,369000,3,4,3689,1984
Single Family Residential,2224 Romine Rd,Little Rock,AR,72204,213900,4,3,1784,1974
Single Family Residential,10100 Nash Ln,Mabelvale,AR,72103,175000,3,2.5,1494,1960
Single Family Residential,4924 Lee Ave,Little Rock,AR,72205,269500,3,2,1647,1940
Single Family Residential,107 Chalamont,Little Rock,AR,72223,454900,4,3,3059,2009
Condo/Co-op,315 Rock St #1502,Little Rock,AR,72202,359000,1,1,999,2009
Single Family Residential,1810 N Spruce,Little Rock,AR,72207,1050000,4,3.5,3380,1928
Single Family Residential,10 Warren Dr,Little Rock,AR,72209,240000,3,2,1800,2006
Single Family Residential,35 Westfield Ct,Little Rock,AR,72210,219900,3,2,1678,2003
Single Family Residential,654 Glenwood Springs Dr,Little Rock,AR,72210,589900,4,3,3091,2023
Single Family Residential,3216 Breckenridge Dr,Little Rock,AR,72227,377400,4,3,2764,1978
Single Family Residential,58 Montagne Ct,Little Rock,AR,72223,470000,3,2,3084,2006
Single Family Residential,2405 Grist Mill Rd,Little Rock,AR,72227,319000,4,3.5,2781,1972
Single Family Residential,24 Coachlight,Little Rock,AR,72227,275000,4,3,2388,1968
Single Family Residential,315 Auburn Dr,Little Rock,AR,72205,610000,4,3,3182,1964
Single Family Residential,4909 Gum Springs Rd,Little Rock,AR,72209,109900,3,2,2068,1955
Single Family Residential,5 Sunset Cir,Little Rock,AR,72207,745000,3,3.5,2738,1954
Single Family Residential,2 Lombardy Ln,Little Rock,AR,72207,530000,4,2,2300,1939
Condo/Co-op,3700 Cantrell Rd #1103,Little Rock,AR,72202,1100000,3,2.5,2866,2009
Single Family Residential,2017 N Garfield St,Little Rock,AR,72207,325000,2,1,1152,1921
Single Family Residential,51 Tournay Cir,Little Rock,AR,72223,529900,4,4,2920,2013
Single Family Residential,67 Westfield Loop,Little Rock,AR,72210,300000,3,2,2015,2005
Single Family Residential,425 Parliament St,Little Rock,AR,72211,388000,4,2.5,2569,2006
Single Family Residential,14005 Overcreek Pass,Little Rock,AR,72211,685000,4,4.5,3888,2013
Single Family Residential,66 Hunters Green Cir,Little Rock,AR,72211,379000,2,3,2485,2007
Single Family Residential,1206 Kings Mountain Dr,Little Rock,AR,72211,220000,4,2,1637,1977
Single Family Residential,7 Sunnydale Dr,Little Rock,AR,72209,110000,2,1,1056,1960
Single Family Residential,8203 Kipling Ln,Little Rock,AR,72209,130000,4,2,1142,1968
Condo/Co-op,12400 Hunters Glen Blvd #28,Little Rock,AR,72211,395000,3,2.5,2856,1984
Multi-Family (2-4 Unit),406 E 7th St,Little Rock,AR,72202,775000,8,4,4086,1937
Single Family Residential,2 White Aspen Ct,Little Rock,AR,72212,329999,3,2.5,2338,1981
Single Family Residential,8013 W 35th St St,Little Rock,AR,72204,135000,3,1,992,1957
Single Family Residential,12040 Rivercrest Dr,Little Rock,AR,72212,574000,3,2.5,2503,1978
Single Family Residential,13810 Marina Dr,Little Rock,AR,72212,1010000,5,5,6282,1996
Condo/Co-op,3501 Oakwood Rd #9,Little Rock,AR,72202,299000,2,2.5,2528,1987
Single Family Residential,324 Fletcher Loop,Little Rock,AR,72223,479000,3,3,2264,2023
Condo/Co-op,700 E 9th Unit St Unit 12A,Little Rock,AR,72202,192500,2,2,1198,1967
Single Family Residential,2314 Pulaski,Little Rock,AR,72206,95000,2,1,1026,1914
Single Family Residential,7415 Illinois St,Little Rock,AR,72207,225000,3,3,1675,1945
Single Family Residential,6208 Brentwood Rd,Little Rock,AR,72207,1035000,4,5,4840,2023
Single Family Residential,30 Laval Cir,Little Rock,AR,72223,595000,4,3.5,3709,2001
Single Family Residential,17824 Michael Todd Ln,Little Rock,AR,72206,165000,3,2,1232,1995
Single Family Residential,4803 Greenfield Dr,Little Rock,AR,72209,150000,3,1.5,1108,1969
Single Family Residential,315 Crystal Ct,Little Rock,AR,72205,675000,4,2.5,3054,1930
Single Family Residential,5820 N Country Clb,Little Rock,AR,72207,1195000,4,2.5,4034,1998
Condo/Co-op,3501 Oakwood Rd #1,Little Rock,AR,72202,389000,3,2.5,2367,1981
Single Family Residential,2123 Pulaski St,Little Rock,AR,72206,169000,3,1,1664,1940
Single Family Residential,19 Corlay Dr,Little Rock,AR,72223,657000,4,3.5,3100,2023
Single Family Residential,319 Fletcher Loop,Little Rock,AR,72223,425900,3,2,2055,2023
Single Family Residential,83 Kingspark Rd,Little Rock,AR,72227,249900,3,3,2246,1970
Single Family Residential,2012 Riverview Dr,Little Rock,AR,72205,375000,3,2,2340,1930
Single Family Residential,5 London Cir,Little Rock,AR,72209,110000,3,1,912,1960
Single Family Residential,204 Pearl Ave,Little Rock,AR,72205,393000,3,1.5,2280,1914
Single Family Residential,11020 Dogwood Cv,Little Rock,AR,72211,199950,4,2.5,2124,1977
Single Family Residential,2818 Charter Oak,Little Rock,AR,72227,219900,3,2,1778,1973
Single Family Residential,13900 Beau Vue Dr,Little Rock,AR,72223,2550000,4,4.5,5775,2018
Single Family Residential,718 Atkins Rd,Little Rock,AR,72211,325900,3,2,1655,2023
Single Family Residential,102 Lamarche Pl,Little Rock,AR,72223,389000,4,2.5,2250,2018
Single Family Residential,15700 Pride Valley Rd,Little Rock,AR,72223,419000,3,2,2022,2019
Single Family Residential,11005 Lemoncrest Ln,Little Rock,AR,72210,189900,3,2,1847,1976
Single Family Residential,2423 N University Ave,Little Rock,AR,72207,599000,3,3,2148,1927
Single Family Residential,3 Meadowbrook Dr,Little Rock,AR,72205,219900,3,1.5,1800,1960
Single Family Residential,13720 Mail Route Rd,Little Rock,AR,72206,189000,3,2,1769,1979
Single Family Residential,2413 Grist Mill Rd,Little Rock,AR,72227,310000,4,2.5,2425,1972
Single Family Residential,108 Winthrop Trl,Little Rock,AR,72211,820000,5,4,5338,2012
Single Family Residential,720 Atkins Rd,Little Rock,AR,72211,336500,3,2,1700,2023
Single Family Residential,30 Forest Valley Ln,Little Rock,AR,72223,389950,2,2.5,2184,2013
Single Family Residential,14 Dawn Ct,Little Rock,AR,72209,155000,3,2,1512,1981
Single Family Residential,5212 Blueberry Dr,Little Rock,AR,72206,210000,3,2,1563,1979
Single Family Residential,8201 Louwanda Dr,Little Rock,AR,72205,270000,3,2.5,2520,1964
Single Family Residential,46 Copper Cir,Little Rock,AR,72223,499900,4,2.5,2490,2023
Single Family Residential,6508 Pecan Ave,Little Rock,AR,72206,100000,3,1,884,1961
Single Family Residential,6506 Pecan Ave,Little Rock,AR,72206,100000,3,1,884,1959
Condo/Co-op,601 Chenal Woods Dr #221,Little Rock,AR,72223,335000,2,2,1546,2009
Single Family Residential,913 S Pulaski,Little Rock,AR,72202,165000,3,2,1750,1966
Single Family Residential,126 Falstone Dr,Little Rock,AR,72223,1400900,5,5.5,5450,2023
Single Family Residential,1108 Shackleford,Little Rock,AR,72211,289900,4,2,1922,1971
Single Family Residential,40 Crape Myrtle Pl,Little Rock,AR,72210,269500,4,2.5,2440,1981
Multi-Family (2-4 Unit),2405 S Battery St,Little Rock,AR,72206,325000,6,6,4344,1930
Single Family Residential,5023 N Lookout Dr,Little Rock,AR,72205,299000,4,1.5,2200,1948
Single Family Residential,6528 Hawthorne Rd,Little Rock,AR,72207,955000,5,3,3514,2020
Single Family Residential,12 Oxford Run Ct,Little Rock,AR,72209,209999,4,2,1524,2011
Single Family Residential,11 Ardmore Dr,Little Rock,AR,72209,140000,3,1.5,1428,1955
Single Family Residential,2806 Woodsgate,Little Rock,AR,72211,624900,5,4.5,4523,2004
Single Family Residential,7614 Westwood,Little Rock,AR,72204,83000,2,1,936,1952
Single Family Residential,4611 John Barrow Rd,Little Rock,AR,72204,99900,3,1,888,1960
Single Family Residential,2805 Woodsgate,Little Rock,AR,72211,559900,4,2.5,3578,2003
Condo/Co-op,2512 Riverfront Dr #5,Little Rock,AR,72202,300000,2,2.5,1136,1980
Single Family Residential,2915 Circlewood Rd,Little Rock,AR,72207,319000,3,2,1595,1959
Single Family Residential,18 El Dorado Dr,Little Rock,AR,72212,599000,4,3,4084,1979
Single Family Residential,1600 Pine Valley Rd,Little Rock,AR,72207,199000,3,2,1476,1952
Single Family Residential,5 Castle Hill Ct,Little Rock,AR,72227,210000,4,2.5,2075,1974
Single Family Residential,9 Janwood Dr,Little Rock,AR,72227,298500,3,2.5,2484,1969
Single Family Residential,1702 Jennifer Dr,Little Rock,AR,72212,375000,3,3.5,2355,1977
Single Family Residential,7 Longlea Cv,Little Rock,AR,72212,674900,4,4,4016,1984
Single Family Residential,30 Clervaux,Little Rock,AR,72223,515000,4,3.5,3652,2003
Single Family Residential,606 Maple St,Little Rock,AR,72205,199500,2,1,1034,1948
Single Family Residential,206 Fletcher Ridge Dr,Little Rock,AR,72223,539500,4,3,2798,2023
Condo/Co-op,315 Rock St #611,Little Rock,AR,72202,475000,2,2,1658,2009
Condo/Co-op,315 Rock St #1604,Little Rock,AR,72201,275000,1,1,823,2009
Single Family Residential,1812 N Jackson St,Little Rock,AR,72207,879000,3,3,2521,1927
Single Family Residential,27 Summerland Ct,Little Rock,AR,72227,269962,4,2.5,2200,1984
Single Family Residential,4207 Bear Tree Dr,Little Rock,AR,72223,484500,4,2.5,3406,1993
Single Family Residential,57 Copper Cir,Little Rock,AR,72223,450000,3,2,2234,2023
Single Family Residential,26 Wingate Dr,Little Rock,AR,72205,650000,4,3,3915,1957
Single Family Residential,4000 W 11th St,Little Rock,AR,72204,129900,3,1,1294,1930
Single Family Residential,7906 Impala Dr,Little Rock,AR,72209,119900,3,1.5,1264,1970
Single Family Residential,1 Laurice Cir,Little Rock,AR,72205,109900,4,2,1631,1962
Single Family Residential,1601-05 Center St,Little Rock,AR,72206,369999,6,4,4080,1906
Single Family Residential,36 Sheffield Dr,Little Rock,AR,72209,149900,3,2,1224,1959
Single Family Residential,6522 Elmore Rd,Little Rock,AR,72209,119900,4,2,2252,1978
Single Family Residential,3001 Reynard Rd,Little Rock,AR,72210,775000,5,3,4405,2000
Single Family Residential,18 Irish Rose,Alexander,AR,72002,155000,3,1.5,1092,1989
Single Family Residential,324 S Schiller,Little Rock,AR,72205,274000,3,2,1350,2023
Single Family Residential,2315 S Izard St,Little Rock,AR,72206,275000,5,3,2488,1920
Single Family Residential,6709 Beacon St St,Little Rock,AR,72207,312000,2,1.5,1264,1946
Single Family Residential,1008 Dundee Ct,Little Rock,AR,72210,359500,4,2,2080,2019
Single Family Residential,904 S Park St,Little Rock,AR,72202,249900,3,2,1329,2023
Single Family Residential,2018 W 18th,Little Rock,AR,72202,190000,3,2,1556,1939
Single Family Residential,15406 Hartford St,Little Rock,AR,72223,389500,3,3,2643,2005
Single Family Residential,1504 Hillsborough Ln,Little Rock,AR,72212,400000,4,3.5,3342,1990
Single Family Residential,116 Pine Valley Rd,Little Rock,AR,72207,425000,4,2,1638,1945
Single Family Residential,1 Cavalier Ct,Little Rock,AR,72223,1950000,5,6.5,6621,2014
Single Family Residential,525 S Oak,Little Rock,AR,72205,258000,3,2,1389,1989
Single Family Residential,6600 Beacon,Little Rock,AR,72207,599000,4,3,2622,2020
Single Family Residential,4612 Club Rd,Little Rock,AR,72207,1375000,4,4,4112,1939
Single Family Residential,12624 Saint Charles Blvd,Little Rock,AR,72212,421500,4,3,2851,1982
Single Family Residential,18200 Colonel Glenn,Little Rock,AR,72210,290000,2,1,1008,1953
Condo/Co-op,3124 Kavanaugh Unit B Blvd,Little Rock,AR,72205,339900,4,3,2292,1927
Single Family Residential,17 Blue Ridge Cir,Little Rock,AR,72207,850000,3,3,2924,1956
Single Family Residential,1412 Florida Ave,Little Rock,AR,72207,175900,3,1.5,1040,1974
Single Family Residential,8 Nantucket Cir,Little Rock,AR,72209,130000,4,2,1232,1967
Single Family Residential,9 River View Pt,Little Rock,AR,72227,1999990,4,4,4677,1984
Single Family Residential,5703 W 50th St,Little Rock,AR,72209,115000,3,1,864,1964
Single Family Residential,3008 Montrose Cir,Little Rock,AR,72210,629926,4,3.5,3529,2014
Single Family Residential,1521 Calgary Cv,Little Rock,AR,72211,185000,3,2,1278,1992
Single Family Residential,7024 Hillwood Rd,Little Rock,AR,72207,249900,3,1,975,1951
Single Family Residential,1017 Kings Mountain Dr,Little Rock,AR,72211,289982,4,2.5,2323,1977
Condo/Co-op,315 Rock St #1105,Little Rock,AR,72202,719000,2,3,2185,2009
Single Family Residential,3700 Foster St,Little Rock,AR,72204,105000,4,2,2920,1972
Multi-Family (2-4 Unit),3819 Wilder St,Little Rock,AR,72204,270000,6,4,2340,2019
Multi-Family (2-4 Unit),3815 Wilder St,Little Rock,AR,72204,270000,6,4,2340,2019
Single Family Residential,4 Nickel Cv,Alexander,AR,72002,197500,3,2,1363,2012
Single Family Residential,2615 Johnson St,Little Rock,AR,72204,110000,5,2,2724,1940
Single Family Residential,62 Copper Cir,Little Rock,AR,72223,455500,4,2.5,2256,2023
Single Family Residential,708 N Taylor,Little Rock,AR,72205,350000,3,2,1666,1980
Single Family Residential,67 Bellegarde Dr,Little Rock,AR,72223,774000,5,5.5,4910,2006
Single Family Residential,10923 Breckenridge,Little Rock,AR,71602,354900,3,2.5,2411,1971
Single Family Residential,106 Bear Den Ct,Little Rock,AR,72223,889000,5,4.5,3967,2023
Single Family Residential,4001 Cedar Hill Rd,Little Rock,AR,72205,549900,4,2.5,4596,1927
Single Family Residential,37 Sologne Cir,Little Rock,AR,72223,2500000,5,5.5,8693,2005
Single Family Residential,43 Rocky Valley Cv,Little Rock,AR,72212,485000,3,2.5,2760,1997
Condo/Co-op,601 Chenal Woods Dr #431,Little Rock,AR,72223,475000,3,3.5,1751,2009
Single Family Residential,4300 Elam St,Little Rock,AR,72204,179900,3,2,1200,2023
Single Family Residential,2820 Gaines St,Little Rock,AR,72206,199000,3,2,1510,1920
Single Family Residential,213 N Spruce St,Little Rock,AR,72205,315000,3,2,1232,1923
Single Family Residential,27 Westmont Cir,Little Rock,AR,72209,99900,3,1.5,1008,1957
