PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP CODE,PRICE,BEDS,BATHS,SQ. FT,YEAR BUILT
Single Family Residential,1425 4th Ave W,Birmingham,AL,35208,196060,3,3,1400,1930
Single Family Residential,1301 32nd Ave N,Birmingham,AL,35234,225000,5,5,3222,1900
Single Family Residential,3008 Avenue F,Birmingham,AL,35218,89900,3,2,1412,1920
Single Family Residential,3008 Blackridge Blvd,Hoover,AL,35244,650484,4,3,2753,2023
Single Family Residential,1057 Linkside Dr,Hoover,AL,35242,649000,3,3,2357,1993
Single Family Residential,2107 Forestdale Bend Rd,Birmingham,AL,35214,189000,4,1,1404,1953
Single Family Residential,1404 Shades Crest Rd,Hoover,AL,35226,675000,4,3,3458,1980
Single Family Residential,2625 Streetman Cir,Birmingham,AL,35235,119900,3,3,1764,1976
Single Family Residential,809 Boulder Ridge Cir,Hoover,AL,35244,424900,3,3.5,2416,1993
Single Family Residential,8017 S S 3rd Ave,Birmingham,AL,35206,209900,3,2,1254,1935
Single Family Residential,4708 4th Ave S,Birmingham,AL,35222,189900,1,1,900,1930
Single Family Residential,1277 Grand Blvd,Birmingham,AL,35214,329900,3,2,2134,2006
Single Family Residential,1609 Bush Blvd W,Birmingham,AL,35208,142500,2,1.5,2544,1956
Single Family Residential,1034 Oak Meadows Rd,Birmingham,AL,35242,459500,4,2.5,2598,1996
Single Family Residential,827 Hillcrest Rd,Birmingham,AL,35235,82000,3,2,1151,1950
Condo/Co-op,1325 31st St S Unit E,Birmingham,AL,35205,159000,1,1,663,1973
Single Family Residential,290 Shades Crest Rd,Birmingham,AL,35226,1200000,4,3.5,4620,1987
Single Family Residential,4600 Bonnett Cir,Birmingham,AL,35235,229900,3,2,1500,2003
Single Family Residential,1708 13th Ct N,Birmingham,AL,35204,65000,3,1,1219,1925
Single Family Residential,904 Alford Ave,Hoover,AL,35226,385000,5,3,2146,1960
Single Family Residential,4625 Round Forest Dr,Mountain Brook,AL,35213,899000,4,3.5,3382,1988
Single Family Residential,6279 Russet Landing Cir,Birmingham,AL,35244,275000,3,2,1568,1998
Townhouse,4351 Wilderness Ct,Mountain Brook,AL,35213,289900,2,2.5,1539,1970
Single Family Residential,2251 Black Creek Xing,Hoover,AL,35244,750000,5,4.5,4223,2019
Single Family Residential,3333 Eaton Rd,Birmingham,AL,35223,546000,5,4,3177,1972
Condo/Co-op,1301 Patton Creek Dr #1301,Hoover,AL,35226,189900,3,2,1414,1970
Single Family Residential,749 Griffin Park Cir,Birmingham,AL,35242,549900,4,3.5,2589,2020
Single Family Residential,1426 30th St N,Birmingham,AL,35234,179000,5,2,2582,1930
Single Family Residential,4716 Avenue,Birmingham,AL,35208,85000,3,1,952,1925
Townhouse,9705 Williamsburg Dr,Birmingham,AL,35215,110000,2,1.5,1212,1984
Single Family Residential,2129 Brewster Rd,Birmingham,AL,35235,219900,3,2,2146,1975
Single Family Residential,540 Cobb St,Homewood,AL,35209,294900,2,1,1033,1949
Single Family Residential,4025 28th Way N,Birmingham,AL,35207,55000,3,1,1358,1940
Single Family Residential,1337 Pratt Hwy,Birmingham,AL,35214,140000,3,2,3454,1965
Condo/Co-op,2938 Cahaba Village Pl #2938,Mountain Brook,AL,35243,427500,2,2.5,1518,2007
Single Family Residential,7830 5th Ave S,Birmingham,AL,35206,130000,3,1,1151,1935
Single Family Residential,1109 Gladstone Ave,Birmingham,AL,35213,449900,3,1.5,1867,1956
Condo/Co-op,300 Hallman Hl E #206,Homewood,AL,35209,449900,1,1,1011,2009
Single Family Residential,2056 Glen Eagle Ln,Hoover,AL,35242,695000,3,2.5,2827,1992
Single Family Residential,7206 4th Ave S,Birmingham,AL,35206,160000,4,2,2520,1935
Townhouse,4835 Silas Ave #18,Hoover,AL,35224,449000,4,3.5,2601,2023
Single Family Residential,3920 11th Ave N,Birmingham,AL,35234,95000,3,2,1200,1989
Townhouse,724 Eastern Manor Ln,Birmingham,AL,35215,129900,3,2.5,1260,1981
Single Family Residential,1833 43rd St,Birmingham,AL,35208,135000,3,1,1552,1925
Single Family Residential,194 Salser Ln,Birmingham,AL,35242,249000,2,1,1637,1986
Single Family Residential,1571 Druid Hill Dr,Birmingham,AL,35234,150000,3,1,1426,1930
Single Family Residential,509 Carnoustie,Birmingham,AL,35242,2500000,6,7.5,10667,2002
Single Family Residential,100 Woodward Rd,Trussville,AL,35173,350000,3,2,1860,1979
Single Family Residential,604 Highland Dr,Midfield,AL,35228,215000,3,2,1656,1935
Single Family Residential,2013 Crossvine Rd,Hoover,AL,35244,355000,3,2,1932,1987
Single Family Residential,471 Paige Dr,Hoover,AL,35226,570000,6,3,3170,2009
Single Family Residential,3404 13th Ave N,Birmingham,AL,35234,246000,3,2.5,2432,1933
Single Family Residential,1019 S Hampton Pl,Birmingham,AL,35242,499000,4,3,2966,2013
Townhouse,1690 Coburn St #33,Hoover,AL,35244,440000,4,3.5,2278,2023
Single Family Residential,5360 Woodford Dr,Birmingham,AL,35242,849999,6,5.5,5692,1986
Single Family Residential,616 Vaughn Cir,Birmingham,AL,35235,140000,3,2.5,1519,1965
Single Family Residential,1711 Mountain Dr,Tarrant,AL,35217,120000,3,1,2784,1920
Single Family Residential,0 Highland Gate Way,Hoover,AL,35244,1000000,5,4.5,4181,2023
Single Family Residential,72 Hawthorn St,Birmingham,AL,35242,589900,4,3.5,1946,2001
Single Family Residential,3001 Spencer Way,Hoover,AL,35226,649900,5,3.5,2965,2023
Single Family Residential,9917 Mcclaney Ave,Birmingham,AL,35217,208000,3,3.5,3694,1973
Single Family Residential,9220 Brookhurst Dr,Birmingham,AL,35235,145000,3,1,1259,1955
Condo/Co-op,2716 Hanover Cir S #400,Birmingham,AL,35205,655000,2,2,2300,1981
Single Family Residential,6 Rockledge Rd,Mountain Brook,AL,35213,1195000,4,5,5011,1957
Single Family Residential,4389 Mountaindale Rd,Birmingham,AL,35213,599000,4,3,2212,1957
Single Family Residential,47 15th Ave W,Birmingham,AL,35204,90000,2,1,914,1950
Single Family Residential,706 46th St S,Birmingham,AL,35222,379900,3,2.5,1602,1930
Single Family Residential,1205 Skyline Dr,Birmingham,AL,35214,135000,3,2,1011,1948
Single Family Residential,425 Art Hanes Blvd,Birmingham,AL,35213,359900,3,2,1995,1965
Single Family Residential,520 Goldenrod Dr,Birmingham,AL,35215,134900,3,1.5,1175,1959
Single Family Residential,6813 Frankfort Ave,Birmingham,AL,35212,92500,3,1,1541,1949
Single Family Residential,2079 Willow Glenn Dr,Birmingham,AL,35215,199999,3,2,1442,2006
Single Family Residential,2057 Eagle Point Ct,Birmingham,AL,35242,685000,5,4,3206,2019
Single Family Residential,312 Goldwire St,Birmingham,AL,35211,209000,3,2,1420,2023
Condo/Co-op,2321 1st Ave N #103,Birmingham,AL,35203,675000,1,2,4379,1910
Single Family Residential,2504 Crossbow Dr,Birmingham,AL,35214,174999,3,2,2117,1969
Single Family Residential,207 4th Ave,Midfield,AL,35228,55000,2,1,768,1950
Condo/Co-op,1048 Ivy Hills Cir #1048,Hoover,AL,35216,165000,3,2.5,2249,1975
Single Family Residential,6818 41st Ave N,Birmingham,AL,35206,60000,2,1,792,1953
Single Family Residential,2660 Bush Blvd,Birmingham,AL,35208,349999,3,3,2197,1930
Single Family Residential,2720 16th Pl S,Birmingham,AL,35209,544800,2,2,1064,1935
Single Family Residential,808 Dunwoody Ln,Birmingham,AL,35215,259900,5,2.5,2278,1984
Single Family Residential,121 Daly St,Irondale,AL,35210,384900,3,2,1517,1948
Single Family Residential,2001 Brewster Rd,Birmingham,AL,35235,259900,3,2.5,1988,1970
Condo/Co-op,2815 S 4th Ave #502,Birmingham,AL,35233,924900,2,2.5,2139,2023
Condo/Co-op,2815 S 4th Ave #501,Birmingham,AL,35233,924900,2,2.5,2139,2023
Condo/Co-op,2815 S 4th Ave #403,Birmingham,AL,35233,469900,1,1.5,1142,2023
Condo/Co-op,2815 S 4th Ave #404,Birmingham,AL,35233,469900,1,1.5,1142,2023
Condo/Co-op,2815 S 4th Ave #304,Birmingham,AL,35233,469900,1,1.5,1142,2023
Condo/Co-op,2815 S 4th Ave #303,Birmingham,AL,35233,469900,1,1.5,1142,2023
Condo/Co-op,2815 S 4th Ave #402,Birmingham,AL,35233,574900,2,2,1406,2023
Condo/Co-op,2815 S 4th Ave #401,Birmingham,AL,35233,574900,2,2,1406,2023
Condo/Co-op,2815 S 4th Ave #302,Birmingham,AL,35233,574900,2,2,1406,2023
Condo/Co-op,2815 S 4th Ave #301,Birmingham,AL,35233,574900,2,2,1406,2023
Condo/Co-op,2815 S 4th Ave #202,Birmingham,AL,35233,499900,1,1.5,1226,2023
Condo/Co-op,2815 S 4th Ave #201,Birmingham,AL,35233,499900,1,1.5,1226,2023
Condo/Co-op,2815 S 4th Ave #103,Birmingham,AL,35233,389900,1,1,937,2023
Condo/Co-op,2815 S 4th Ave #102,Birmingham,AL,35233,389900,1,1,937,2023
Condo/Co-op,2815 S 4th Ave #104,Birmingham,AL,35233,849900,3,2.5,2044,2023
Condo/Co-op,2815 S 4th Ave #101,Birmingham,AL,35233,849900,3,2.5,2044,2023
Single Family Residential,130 Narrows Creek Dr,Birmingham,AL,35242,375000,3,2,2032,2001
Condo/Co-op,2250 Highland Ave #64,Birmingham,AL,35205,299900,1,1,1028,1924
Single Family Residential,1453 Paragon Pkwy,Birmingham,AL,35235,239900,4,3,2848,1974
Single Family Residential,40 Norwood Cir,Birmingham,AL,35234,450000,4,3,3000,2023
Single Family Residential,745 Crest Ln,Birmingham,AL,35209,399900,3,2,1804,1954
Single Family Residential,104 Mecca Ave,Homewood,AL,35209,639900,3,2,1751,1938
Single Family Residential,2920 Norwood Blvd,Birmingham,AL,35234,460000,4,3,3000,2023
Single Family Residential,3150 Sleepy Hollow Dr,Pinson,AL,35126,239000,4,3,2175,1979
Condo/Co-op,407 Running Brook Rd #407,Hoover,AL,35226,188000,2,2.5,1236,1977
Single Family Residential,4004 Village Center Dr,Hoover,AL,35226,520000,3,2.5,2534,2008
Single Family Residential,5558 Jeremiah Ln,Birmingham,AL,35235,259900,2,2,1974,1997
Single Family Residential,440 Griffin Park Ln,Birmingham,AL,35242,575000,4,3,2965,2020
Single Family Residential,2609 Cardinal Cir,Vestavia Hills,AL,35243,824900,4,4,3331,1977
Single Family Residential,1723 Southpointe Dr,Hoover,AL,35244,424900,5,4,3103,1994
Single Family Residential,4569 Magnolia Dr,Birmingham,AL,35242,375000,3,2.5,2246,1990
Single Family Residential,732 13th Ter NW,Center Point,AL,35215,118000,3,2,1146,1981
Single Family Residential,4183 Eagle Crest Dr,Birmingham,AL,35242,549000,4,3.5,2975,1998
Single Family Residential,709 Olmsted St,Birmingham,AL,35242,557000,4,2.5,2815,2023
Single Family Residential,879 Calvert Cir,Birmingham,AL,35242,631000,4,3.5,2853,2023
Single Family Residential,701 Olmsted St,Birmingham,AL,35242,474854,3,2,2030,2023
Single Family Residential,907 77th Way S,Birmingham,AL,35206,175000,3,1.5,1271,1958
Single Family Residential,832 Sherwood Forest Dr NE,Birmingham,AL,35235,195000,3,1.5,1375,1963
Single Family Residential,1109 30th St S,Birmingham,AL,35205,548000,5,3.5,3408,1902
Single Family Residential,208 Old Brook Ct,Birmingham,AL,35242,334900,3,2.5,1838,1995
